Time: 3.075 ms, Membrane potential: -64.949 mV
Time: 3.100 ms, Membrane potential: -64.949 mV
Time: 3.125 ms, Membrane potential: -64.949 mV
Time: 3.150 ms, Membrane potential: -64.949 mV
Time: 3.175 ms, Membrane potential: -64.949 mV
Time: 3.200 ms, Membrane potential: -64.949 mV
Time: 3.225 ms, Membrane potential: -64.949 mV
Time: 3.250 ms, Membrane potential: -64.949 mV
Time: 3.275 ms, Membrane potential: -64.948 mV
Time: 3.300 ms, Membrane potential: -64.948 mV
Time: 3.325 ms, Membrane potential: -64.948 mV
Time: 3.350 ms, Membrane potential: -64.948 mV
Time: 3.375 ms, Membrane potential: -64.948 mV
Time: 3.400 ms, Membrane potential: -64.948 mV
Time: 3.425 ms, Membrane potential: -64.948 mV
Time: 3.450 ms, Membrane potential: -64.948 mV
Time: 3.475 ms, Membrane potential: -64.948 mV
Time: 3.500 ms, Membrane potential: -64.948 mV
Time: 3.525 ms, Membrane potential: -64.948 mV
Time: 3.550 ms, Membrane potential: -64.948 mV
Time: 3.575 ms, Membrane potential: -64.948 mV
Time: 3.600 ms, Membrane potential: -64.947 mV
Time: 3.625 ms, Membrane potential: -64.947 mV
Time: 3.650 ms, Membrane potential: -64.947 mV
Time: 3.675 ms, Membrane potential: -64.947 mV
Time: 3.700 ms, Membrane potential: -64.947 mV
Time: 3.725 ms, Membrane potential: -64.947 mV
Time: 3.750 ms, Membrane potential: -64.947 mV
Time: 3.775 ms, Membrane potential: -64.947 mV
Time: 3.800 ms, Membrane potential: -64.947 mV
Time: 3.825 ms, Membrane potential: -64.947 mV
Time: 3.850 ms, Membrane potential: -64.947 mV
Time: 3.875 ms, Membrane potential: -64.947 mV
Time: 3.900 ms, Membrane potential: -64.947 mV
Time: 3.925 ms, Membrane potential: -64.947 mV
Time: 3.950 ms, Membrane potential: -64.947 mV
Time: 3.975 ms, Membrane potential: -64.947 mV
Time: 4.000 ms, Membrane potential: -64.947 mV
Time: 4.025 ms, Membrane potential: -64.947 mV
Time: 4.050 ms, Membrane potential: -64.947 mV
Time: 4.075 ms, Membrane potential: -64.947 mV
Time: 4.100 ms, Membrane potential: -64.947 mV
Time: 4.125 ms, Membrane potential: -64.947 mV
Time: 4.150 ms, Membrane potential: -64.947 mV
Time: 4.175 ms, Membrane potential: -64.947 mV
Time: 4.200 ms, Membrane potential: -64.947 mV
Time: 4.225 ms, Membrane potential: -64.947 mV
Time: 4.250 ms, Membrane potential: -64.947 mV
Time: 4.275 ms, Membrane potential: -64.947 mV
Time: 4.300 ms, Membrane potential: -64.947 mV
Time: 4.325 ms, Membrane potential: -64.947 mV
Time: 4.350 ms, Membrane potential: -64.947 mV
Time: 4.375 ms, Membrane potential: -64.947 mV
Time: 4.400 ms, Membrane potential: -64.947 mV
Time: 4.425 ms, Membrane potential: -64.947 mV
Time: 4.450 ms, Membrane potential: -64.948 mV
Time: 4.475 ms, Membrane potential: -64.948 mV
Time: 4.500 ms, Membrane potential: -64.948 mV
Time: 4.525 ms, Membrane potential: -64.948 mV
Time: 4.550 ms, Membrane potential: -64.948 mV
Time: 4.575 ms, Membrane potential: -64.948 mV
Time: 4.600 ms, Membrane potential: -64.948 mV
Time: 4.625 ms, Membrane potential: -64.948 mV
Time: 4.650 ms, Membrane potential: -64.948 mV
Time: 4.675 ms, Membrane potential: -64.948 mV
Time: 4.700 ms, Membrane potential: -64.948 mV
Time: 4.725 ms, Membrane potential: -64.948 mV
